id,age,birthdate,gender,name,occupation,portrait_path,phrases,status
1,39,1956-05-12,Male,Homer Simpson,Safety Inspector,/character/1.webp,"['Doh!', 'Why you little...!', 'Woo-hoo!', 'Mmm... (food)... *drooling*', 'Stupid Flanders!', 'Shut up Flanders!', 'AAAAGHH!', 'Lisa, knock off that racket!', 'Uh oh, the boss.', 'Lets all go out for frosty chocolate milkshakes!', 'Whatever, Ill be at Moes.', 'I am evil Ho-mer! I am evil Ho-mer! I am evil Ho-mer!', 'Better them than me.', 'Better them than me... Oh wait, that was me.', 'Marge, my face hurts again!']",Alive
2,39,,Female,Marge Simpson,Unemployed,/character/2.webp,"['Hrmmm...', 'Now its Marges time to shine!', 'Oh!', 'Oh, Homie!', 'Its true. Women arent very good drivers.']",Alive
3,10,1980-02-23,Male,Bart Simpson,Student at Springfield Elementary School,/character/3.webp,"['¡Ay Caramba!', 'Eat my shorts!', 'I didnt do it!', 'Dont have a cow, man.', 'I’m Bart Simpson, who the hell are you?', 'Aah! Sideshow Bob!', 'Nobody better lay a finger on my Butterfinger!', 'I didnt think it was physically possible, but this both sucks and blows.']",Alive
4,8,1982-05-09,Female,Lisa Simpson,"Student at Springfield Elementary School, CTU Agent, Hall-monitor, Member of PETA",/character/4.webp,"['Well, I wish you wouldnt. Because, aside from the fact that he has the same frailties as all human beings, hes the only father I have. Therefore, he is my model of manhood, and my estimation of him will govern the prospects of my adult relationships. So I hope you bear in mind that any knock at him is a knock at me. And I am far too young to defend myself against such onslaughts.', 'Bart!', 'If anyone wants me, Ill be in my room.', 'Quit it, Bart!', 'BAAAAART!!', 'Mommy.', 'David Hasselhoff.', 'Homer.', 'Having never received encouragement, Im not sure how it should sound, but here goes: I believe in you.', 'Shut up, Meg.', 'The truth must be told.', 'I hope these are recyclable.', 'Yeah, Bart!']",Alive
5,1,1990-11-07,Female,Maggie Simpson,Unknown,/character/5.webp,"['*suck-suck*', 'Good night.', 'Daddy.']",Alive
6,,,Male,Abe Simpson II,Retired,/character/6.webp,"['Ahh!', 'Im Santa? Oh, now Ill never die!', 'Hi, David, Im Grampa!', 'They pay me $800 a week to tell a cat and mouse what to do!']",Alive
7,,,Female,Patty Bouvier,Springfield DMV Employee,/character/7.webp,"['Some days at the DMV, we dont let the line move at all. We call those weekdays.', 'Hell no! I like girls!']",Alive
8,,,Female,Selma Bouvier,Employee of Department of Motor Vehicles,/character/8.webp,"['Hows my blubber in-law?', 'Drivers License is on me!']",Alive
9,60,,Male,Ned Flanders,The Leftorium (formerly),/character/9.webp,"['Howdily-doodily, neighborino!', 'Hi-diddly-ho!']",Alive
10,,,Female,Maude Flanders,Housewife (former),/character/10.webp,"['I dont judge Homer or Marge. Thats for vengeful God to do.', 'Neddy doesnt believe in insurance. He considers it a form of gambling.', 'I know. They make you uncomfortable.', 'In many ways, Maude Flanders was a supporting player in our lives. She didnt grab our attention with memorable catchphrases, or comical accents. But, whether you noticed her or not, Maude was always there but then she was still alive in episode 6', 'Excuse me, Edna. I dont think were talking about love here. Were talking about S-E-X in front of the C-H-I-L-D-R-E-N.']",Deceased
